City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Patrocinio,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
298,Bambous Virieux,MU,-20.4081,57.7,67.24,66,82,20.69,broken clouds
299,Iralaya,HN,15.0,-83.2333,83.28,75,34,10.96,scattered clouds
300,Arlit,NE,18.7369,7.3853,94.57,29,73,8.05,broken clouds
301,Pitimbu,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
302,Husavik,IS,63.4427,-20.2734,51.94,87,50,13.56,scattered clouds
303,Ambilobe,MG,-13.2,49.05,66.43,69,87,5.59,overcast clouds
304,Lagoa,PT,33.0833,-16.3333,67.42,78,20,16.11,few clouds
305,Atbasar,KZ,47.9714,80.4392,64.2,69,7,9.86,clear sky
306,Sungaipenuh,ID,-5.1241,120.253,74.01,90,100,2.73,overcast clouds
307,Deputatskiy,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
308,Esperance,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
309,Mar Del Plata,AR,-54.8,-68.3,38.86,52,20,5.75,few clouds
310,Fiche,ET,10.0667,34.5333,60.17,93,100,3.36,overcast clouds
311,Teguise,ES,29.0605,-13.564,70.02,73,20,17.27,few clouds
312,Douglas,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
313,Vallenar,CL,-53.15,-70.9167,35.71,87,0,27.63,clear sky
314,Kavarna,BG,43.4333,28.3333,67.35,64,72,3.83,broken clouds
315,Paoua,CF,5.0314,25.1361,71.11,96,93,2.1,light rain
316,Kozmodemyansk,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
317,Souillac,MU,-20.4081,57.7,67.24,66,82,20.69,broken clouds
318,Lerwick,GB,60.1545,-1.1494,53.6,85,100,9.24,overcast clouds
319,Aitape,PG,-3.6667,152.4333,80.19,77,68,9.13,broken clouds
320,Samarai,PG,-3.6667,152.4333,80.19,77,68,9.13,broken clouds
321,Rocha,UY,-34.4833,-54.3333,45.09,71,0,7.31,clear sky
322,Chuy,UY,-34.4833,-54.3333,45.09,71,0,7.31,clear sky
323,Domoni,KM,-12.2569,44.5319,75.65,75,78,6.08,light rain
324,Aksu,CN,39.4547,75.9797,79.34,24,0,3.76,clear sky
325,Uray,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
326,Carnarvon,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
327,Lom Sak,TH,17.1006,100.8374,77.31,92,99,1.03,overcast clouds
328,Cuajinicuilapa,MX,22.8909,-109.9124,95.61,57,11,6.62,few clouds
329,Talcahuano,CL,-53.15,-70.9167,35.71,87,0,27.63,clear sky
330,Sovetskiy,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
331,Chakrata,IN,19.2,84.6167,77.59,90,60,4.47,broken clouds
332,Malkerns,SZ,-26.5667,31.1833,52.57,77,0,4.09,clear sky
333,Saint-Jerome,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
334,Bundaberg,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
335,Half Moon Bay,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
336,Itoman,JP,35.1333,140.3,78.06,90,100,12.39,overcast clouds
337,Kalino,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
338,Ruatoria,NZ,-46.2817,169.8464,46.04,85,84,5.68,broken clouds
339,Dicabisagan,PH,17.0818,122.4157,78.6,87,82,2.24,broken clouds
340,Maues,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
341,Qasigiannguit,GL,60.1432,-45.2371,43.3,86,99,13.22,overcast clouds
